airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,19:50:00,280,1.0,No Info,7476
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,23:00:00,845,1.0,In-flight meal not included,6992
Jet Airways,2019-06-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Air India,2019-03-18,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,4441
Spicejet,2019-03-03,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6860
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Multiple Carriers,2019-03-06,Delhi,Cochin,16:00:00,01:35:00,575,1.0,In-flight meal not included,15136
Indigo,2019-06-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Indigo,2019-03-18,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2227
Indigo,2019-06-12,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No Info,11098
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Indigo,2019-05-21,Kolkata,Banglore,19:55:00,23:50:00,235,1.0,No Info,4226
Multiple Carriers,2019-06-01,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Air India,2019-05-15,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,13486
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,14388
Air India,2019-06-09,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9968
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,05:05:00,730,1.0,No Info,16736
Air India,2019-05-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Jet Airways,2019-04-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-05-18,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-03-09,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Indigo,2019-04-09,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Goair,2019-05-09,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,8777
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Multiple Carriers,2019-03-21,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No Info,6653
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,9663
Indigo,2019-04-09,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,8529
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,7438
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,9627
Jet Airways,2019-06-09,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No Info,36235
Goair,2019-05-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Indigo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Air India,2019-05-01,Kolkata,Banglore,10:00:00,16:15:00,375,1.0,No Info,10203
Spicejet,2019-05-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-03-12,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,No Info,11297
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,10844
Vistara,2019-06-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Indigo,2019-05-06,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4284
Indigo,2019-03-21,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,9709
Indigo,2019-05-21,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14533
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,11733
Indigo,2019-05-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Vistara,2019-06-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Air India,2019-04-01,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,9920
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,14641
Indigo,2019-06-15,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-05-27,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-03-15,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,6593
Indigo,2019-04-03,Kolkata,Banglore,06:15:00,10:30:00,255,1.0,No Info,4226
Indigo,2019-04-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Multiple Carriers,2019-03-09,Delhi,Cochin,00:20:00,07:40:00,440,1.0,In-flight meal not included,13977
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,12681
Spicejet,2019-06-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,12692
Multiple Carriers,2019-06-06,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7198
Multiple Carriers,2019-03-09,Delhi,Cochin,15:05:00,01:35:00,630,1.0,In-flight meal not included,14086
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:20:00,16:50:00,1590,2.0,No Info,24115
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,19:00:00,1380,2.0,No Info,14300
Air India,2019-03-24,Kolkata,Banglore,13:55:00,23:15:00,2000,2.0,No Info,15292
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,14388
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Air India,2019-03-15,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,7013
Vistara,2019-04-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Air India,2019-05-01,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,16372
Indigo,2019-06-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-06-09,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,09:25:00,1065,1.0,No Info,12395
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air India,2019-03-15,Banglore,New Delhi,11:50:00,19:50:00,480,1.0,No Info,7192
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,00:45:00,1140,1.0,In-flight meal not included,7832
Spicejet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Indigo,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,7191
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Indigo,2019-03-21,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,8470
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,9345
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Indigo,2019-05-12,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Air India,2019-05-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6121
Spicejet,2019-04-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Indigo,2019-04-27,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Spicejet,2019-04-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-05-03,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Spicejet,2019-06-12,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Indigo,2019-05-27,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,6722
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No Info,13941
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Indigo,2019-04-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4565
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7888
Air India,2019-06-06,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,13007
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Air India,2019-05-21,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11972
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Indigo,2019-05-15,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,19:40:00,1350,1.0,In-flight meal not included,10031
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,9526
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Spicejet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,4423
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,14781
Spicejet,2019-03-24,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No check-in baggage included,5201
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8879
Air India,2019-03-06,Mumbai,Hyderabad,20:15:00,09:15:00,780,1.0,No Info,9535
Air India,2019-05-21,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,13712
Indigo,2019-05-27,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,8784
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Vistara,2019-06-15,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4878
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No Info,12537
Goair,2019-04-12,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,6722
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,12692
Jet Airways,2019-03-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Indigo,2019-04-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4174
Spicejet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Jet Airways,2019-06-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,8016
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,11924
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,No Info,12681
Jet Airways,2019-03-24,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,In-flight meal not included,8147
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2228
Indigo,2019-05-27,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No Info,8907
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,9719
Indigo,2019-06-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-06,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,21829
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,8662
Indigo,2019-03-03,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No Info,7725
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,In-flight meal not included,9270
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13727
Air Asia,2019-04-01,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5192
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,13014
Goair,2019-05-03,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Jet Airways,2019-06-12,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Goair,2019-06-27,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Vistara,2019-06-06,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Indigo,2019-06-01,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6541
Indigo,2019-04-12,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,12898
Jet Airways,2019-04-01,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,5613
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No Info,12395
Vistara,2019-03-21,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,18:10:00,1345,1.0,No Info,13759
Air India,2019-06-12,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No Info,7662
Indigo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,7738
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Air Asia,2019-06-06,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,11467
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,9508
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-24,Delhi,Cochin,12:50:00,21:00:00,490,1.0,In-flight meal not included,6007
Indigo,2019-05-21,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3574
Jet Airways,2019-03-09,Delhi,Cochin,13:45:00,18:50:00,1745,2.0,No Info,18752
Jet Airways,2019-04-15,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,6542
Air India,2019-06-09,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Air Asia,2019-05-15,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,11789
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,7826
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9526
Air India,2019-03-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2050
Jet Airways,2019-06-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12898
Indigo,2019-03-06,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,13611
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,13941
Multiple Carriers,2019-03-06,Delhi,Cochin,04:00:00,18:50:00,890,1.0,No Info,13399
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14571
Air India,2019-05-24,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,10413
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12927
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,6565
Indigo,2019-03-21,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,8784
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,9845
Jet Airways,2019-05-15,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Indigo,2019-05-12,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,6669
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,No Info,19225
Spicejet,2019-04-01,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Spicejet,2019-03-06,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,7298
Indigo,2019-03-21,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,9264
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,8586
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,880,1.0,No Info,6901
Air India,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13797
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14781
Indigo,2019-05-27,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-03-03,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,12677
Multiple Carriers,2019-05-27,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,9315
Spicejet,2019-03-03,Banglore,New Delhi,15:35:00,23:40:00,485,1.0,No Info,6315
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,No Info,14388
